"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"1022.353.274","REGO",,,"2812","Mechelen","Mechelen","Luysenberchstraat","Luysenberchstraat","13","","",
"1023.369.893","REGO",,,"2980","Zoersel","Zoersel","Alfons Butsstraat","Alfons Butsstraat","43","","",
"1024.639.407","REGO",,,"1367","Ramillies","Ramillies","Rue du Chenois","Rue du Chenois","23","","",
"1025.197.750","REGO",,,"9100","Sint-Niklaas","Sint-Niklaas","Stationsstraat","Stationsstraat","113B","","",
"1026.686.602","REGO",,,"1370","Jodoigne","Jodoigne","R.du Moulin de Genville(S.-R.-G.)","R.du Moulin de Genville(S.-R.-G.)","18","","",
"1026.824.380","REGO","Frankrijk","France","45390","PUISEAUX","PUISEAUX","Chemin Lateral","Chemin Lateral","-","","",
"1026.952.856","REGO",,,"8554","Zwevegem","Zwevegem","Pastoor Glorieuxstraat(S)","Pastoor Glorieuxstraat(S)","65","","",
"1026.961.368","REGO",,,"3740","Bilzen-Hoeselt","Bilzen-Hoeselt","Hasseltsestraat","Hasseltsestraat","40","6","",
"1027.258.110","REGO",,,"8400","Oostende","Oostende","Gistelsesteenweg","Gistelsesteenweg","71","","",
"1027.918.106","REGO",,,"9620","Zottegem","Zottegem","Elenestraat","Elenestraat","300","","",
"1029.572.153","REGO",,,"1640","Sint-Genesius-Rode","Sint-Genesius-Rode","Waterloose Steenweg","Chaussée de Waterloo","200","","",19-06-2026
"1030.435.750","REGO",,,"9080","Lochristi","Lochristi","Hospiceweg","Hospiceweg","13","301","",
"1030.674.092","REGO",,,"2990","Wuustwezel","Wuustwezel","Nieuwendijk","Nieuwendijk","26","","",
"1031.707.143","REGO",,,"1560","Hoeilaart","Hoeilaart","Fernaasstraat","Fernaasstraat","18","","",
"1032.624.287","REGO",,,"1000","Brussel","Bruxelles","Koloniënstraat","Rue des Colonies","11","","",
"1033.822.238","REGO",,,"6730","Tintigny","Tintigny","Rue du Gros-Cron,Lahage","Rue du Gros-Cron,Lahage","113","","",
"1034.546.570","REGO",,,"1440","Braine-le-Château","Braine-le-Château","Avenue Reine Astrid(W-B)","Avenue Reine Astrid(W-B)","16","","",19-06-2026
"1035.046.616","REGO",,,"4000","Liège","Liège","Rue Saint-Laurent","Rue Saint-Laurent","189","","",
"1035.247.643","REGO",,,"8820","Torhout","Torhout","Slarinweg","Slarinweg","3","","",
"1035.634.950","REGO",,,"3511","Hasselt","Hasselt","Muggebeekstraat","Muggebeekstraat","294","","",
"1036.043.439","REGO",,,"2100","Antwerpen","Antwerpen","Jef Huyghstraat","Jef Huyghstraat","86","","",
"1036.707.492","REGO",,,"9000","Gent","Gent","Zwijnaardsesteenweg","Zwijnaardsesteenweg","44","","",
"1037.022.644","REGO",,,"2100","Antwerpen","Antwerpen","Bisschoppenhoflaan","Bisschoppenhoflaan","438","77","",19-06-2026
"1037.136.074","REGO",,,"2440","Geel","Geel","Oudekastelseweg","Oudekastelseweg","9","","",
"1037.285.930","REGO",,,"9900","Eeklo","Eeklo","Zeelaan","Zeelaan","7E","","",
"1037.391.937","REGO",,,"1560","Hoeilaart","Hoeilaart","Marcel Félicéstraat","Marcel Félicéstraat","19","GLV","",
"1037.528.430","REGO",,,"1040","Etterbeek","Etterbeek","Oudergemlaan","Avenue d'Auderghem","241","","",
"1037.643.642","REGO",,,"1780","Wemmel","Wemmel","Koningin Astridlaan","Avenue Reine Astrid","49","","",
"1038.069.848","REGO","Nederland","Pays-Bas","2288GK","Rijswijk","Rijswijk","Lange Kleiweg","Lange Kleiweg","62b","","",
"1038.355.108","REGO",,,"9000","Gent","Gent","Zwijnaardsesteenweg","Zwijnaardsesteenweg","44","","",
"1038.808.236","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Groot-Bijgaardenstraat","Rue de Grand-Bigard","14","","",
"1038.887.222","REGO",,,"7500","Tournai","Tournai","Avenue de Maire(TOU)","Avenue de Maire(TOU)","44","","",
"1039.488.622","REGO",,,"1050","Brussel","Bruxelles","Louizalaan","Avenue Louise","163","","",
"1039.754.282","REGO",,,"3600","Genk","Genk","Vaartstraat","Vaartstraat","30","","",
"1039.821.984","REGO",,,"9080","Lochristi","Lochristi","Kasseitje","Kasseitje","73","","",
"1040.168.810","REGO",,,"1800","Vilvoorde","Vilvoorde","Guldenschaapstraat","Guldenschaapstraat","6","","",
"1040.586.306","REGO","Italië","Italie","00010","San Polo dei Cavalieri","San Polo dei Cavalieri","MAREMMANA INFERIORE","MAREMMANA INFERIORE","23400","","",
"1040.587.393","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","48155","MUNSTER","MUNSTER","INDUSTRIEWEG","INDUSTRIEWEG","34","","",
"1040.588.779","REGO","Luxemburg (Groot-Hertogdom)","Luxembourg (Grand-Duché)","L4406","OBERKORN","OBERKORN","rue laboulle","rue laboulle","8","","",
"1040.589.472","REGO","Nederland","Pays-Bas","1018RG","Amsterdam","Amsterdam","KRAIJENHOFFSTRAAT","KRAIJENHOFFSTRAAT","137A","","",
"1040.590.660","REGO","Groot-Brittannië","Grande-Bretagne","AL 5 4UT","COLDHARBOUR LANE HARPENDER","COLDHARBOUR LANE HARPENDER","allied business centre","allied business centre","1","","",
"1040.591.551","REGO","Polen ( Rep. )","Pologne ( Rép. )","63 400","OSTROW WIEL KOPOLSKI","OSTROW WIEL KOPOLSKI","partyzancka","partyzancka","34","","",
"1040.592.145","REGO","Frankrijk","France","29 000","QUIMPER","QUIMPER","JEAN-FRANCOIS DE LA PEROUSE","JEAN-FRANCOIS DE LA PEROUSE","11","","",
"1040.592.640","REGO","Polen ( Rep. )","Pologne ( Rép. )","81-321","Gdynia","Gdynia","Ul. Podolska","Ul. Podolska","21","","",
"1040.593.036","REGO","Tsjechische Republiek","République Tchèque","14200","Prague, Hlavní m&#283;sto","Prague, Hlavní m&#283;sto","vihovská","vihovská","275/4","","",
"1040.634.707","REGO","Italië","Italie","37139","VERONA","VERONA","VIA DELLA MECCANICA","VIA DELLA MECCANICA","29","","",
"1040.637.180","REGO","Groot-Brittannië","Grande-Bretagne","BS83 N","THE PROMENADE CLIFTON _ BRISTOL","THE PROMENADE CLIFTON _ BRISTOL","TAYLOR MAXWELL HOUSE","TAYLOR MAXWELL HOUSE","1","","",
"1040.637.972","REGO","Tsjechische Republiek","République Tchèque","290 01","Podebrady","Podebrady","Jiráskova","Jiráskova","223","19","",
"1040.649.454","REGO",,,"4400","Flémalle","Flémalle","Rue du Bar","Rue du Bar","109","","",
"1040.649.553","REGO",,,"4630","Soumagne","Soumagne","Rue de la Terre d'Argent","Rue de la Terre d'Argent","1","B000","",
"1040.649.850","REGO",,,"2547","Lint","Lint","Van Putlei","Van Putlei","44","","",
"1040.650.246","REGO",,,"2940","Stabroek","Stabroek","Waterstraat","Waterstraat","13","","",
"1040.650.345","REGO",,,"8450","Bredene","Bredene","Sluizenstraat","Sluizenstraat","216","","",
"1040.651.038","REGO",,,"1070","Anderlecht","Anderlecht","Jean Van Lierdestraat","Rue Jean Van Lierde","35","","",
"1040.651.533","REGO",,,"2200","Herentals","Herentals","Schoutenlaan(HRT)","Schoutenlaan(HRT)","50","","",
"1040.651.632","REGO",,,"2600","Antwerpen","Antwerpen","Pioenstraat","Pioenstraat","1","","",
"1040.651.731","REGO",,,"2260","Westerlo","Westerlo","Schaapstraat","Schaapstraat","29","","",
"1040.651.830","REGO",,,"1030","Schaarbeek","Schaerbeek","Leuvensesteenweg","Chaussée de Louvain","501","2","",
"1040.652.820","REGO",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Schoolstraat","Rue de l'Ecole","7","","",
"1040.652.919","REGO",,,"1390","Grez-Doiceau","Grez-Doiceau","Rue Cyrille Bauwens","Rue Cyrille Bauwens","35","","",
"1040.653.018","REGO",,,"7730","Estaimpuis","Estaimpuis","Rue du Fresnoy(N)","Rue du Fresnoy(N)","30","","",
"1040.653.414","REGO",,,"9300","Aalst","Aalst","Ajuinenstraat","Ajuinenstraat","29","","",
"1040.653.612","REGO",,,"8900","Ieper","Ieper","Griettensstraat","Griettensstraat","15","","",
"1040.653.711","REGO",,,"7000","Mons","Mons","Boulevard Sainctelette","Boulevard Sainctelette","39","","",
"1040.653.810","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","85716","Unterschleissheim","Unterschleissheim","Freisinger Str.","Freisinger Str.","1","","",
"1040.654.206","REGO",,,"1170","Watermaal-Bosvoorde","Watermael-Boitsfort","Castel Fleurisquare","Square du Castel Fleuri","3","","",
"1040.654.503","REGO",,,"8300","Knokke-Heist","Knokke-Heist","Lippenslaan","Lippenslaan","331","","",
"1040.654.602","REGO",,,"4031","Liège","Liège","Rue des Chasseurs-Ardennais","Rue des Chasseurs-Ardennais","3","","",
"1040.654.897","REGO",,,"1170","Watermaal-Bosvoorde","Watermael-Boitsfort","Giervalkenlaan","Avenue des Gerfauts","10","34","",
"1040.654.996","REGO",,,"1770","Liedekerke","Liedekerke","Gravenbosstraat","Gravenbosstraat","97","","",
"1040.656.184","REGO",,,"1348","Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Chemin du Cyclotron","Chemin du Cyclotron","6","","",
"1040.656.283","REGO",,,"5190","Jemeppe-sur-Sambre","Jemeppe-sur-Sambre","Rue de Jemeppe,Moustier","Rue de Jemeppe,Moustier","65","","",
"1040.657.570","REGO",,,"3090","Overijse","Overijse","Zavelbergstraat","Zavelbergstraat","15","","",
"1040.657.669","REGO",,,"8600","Diksmuide","Diksmuide","Maagdhoek(ESE)","Maagdhoek(ESE)","2","","",
"1040.658.065","REGO",,,"9990","Maldegem","Maldegem","Noordstraat","Noordstraat","78","","",
"1040.658.362","REGO",,,"9990","Maldegem","Maldegem","Noordstraat","Noordstraat","78","","",
"1040.658.560","REGO",,,"1170","Watermaal-Bosvoorde","Watermael-Boitsfort","Terhulpsesteenweg","Chaussée de La Hulpe","177","18","",
"1040.658.659","REGO",,,"2500","Lier","Lier","Heistraat","Heistraat","14","","",
"1040.658.758","REGO",,,"2275","Lille","Lille","Lichtaartsesteenweg","Lichtaartsesteenweg","79","","",
"1040.658.857","REGO",,,"7500","Tournai","Tournai","Chaussée de Bruxelles(TOU)","Chaussée de Bruxelles(TOU)","230","","",
"1040.658.956","REGO",,,"9140","Temse","Temse","Steendonkstraat","Steendonkstraat","12","","",
"1040.659.154","REGO",,,"5376","Havelange","Havelange","Rue de l'Eglise(MI)","Rue de l'Eglise(MI)","15","","",
"1040.659.253","REGO",,,"2260","Westerlo","Westerlo","Populierenstraat","Populierenstraat","2","","",
"1040.659.352","REGO",,,"8710","Wielsbeke","Wielsbeke","Wakkensteenweg(S.B.V.)","Wakkensteenweg(S.B.V.)","90","","",
"1040.659.748","REGO",,,"9031","Gent","Gent","Luchterenkerkweg","Luchterenkerkweg","30","","",
"1040.659.847","REGO","Nederland","Pays-Bas","1017AW","Amsterdam","Amsterdam","SINGEL","SINGEL","464","","",
"1040.659.946","REGO",,,"1700","Dilbeek","Dilbeek","Oudesmidsestraat","Oudesmidsestraat","20","","",
"1040.660.045","REGO",,,"2018","Antwerpen","Antwerpen","Jan Van Rijswijcklaan","Jan Van Rijswijcklaan","32","","",
"1040.660.144","REGO",,,"1860","Meise","Meise","Oppemkerkstraat","Oppemkerkstraat","21","","",
"1040.660.540","REGO",,,"2140","Antwerpen","Antwerpen","Turnhoutsebaan","Turnhoutsebaan","63","201","",
"1040.660.639","REGO",,,"1020","Brussel","Bruxelles","Stevens-Delannoystraat","Rue Stevens-Delannoy","44","","",
"1040.661.431","REGO",,,"4690","Bassenge","Bassenge","Rue du Garage (Eben)","Rue du Garage (Eben)","47","","",
"1040.661.530","REGO",,,"8420","De Haan","De Haan","Meidoornlaan","Meidoornlaan","8","","",
"1040.661.926","REGO",,,"5644","Mettet","Mettet","Rue de Maredret, Ermeton-s.-B.","Rue de Maredret, Ermeton-s.-B.","20","A","",
"1040.662.223","REGO",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue de l'Aiglon","Avenue de l'Aiglon","31","","",
"1040.662.421","REGO",,,"7604","Péruwelz","Péruwelz","Rue du Pilori(BML)","Rue du Pilori(BML)","27","A","",
"1040.662.916","REGO",,,"3910","Pelt","Pelt","Plataanstraat","Plataanstraat","10","","",
"1040.663.114","REGO",,,"7050","Jurbise","Jurbise","Chemin du Prince(J)","Chemin du Prince(J)","327","","",
"1040.663.312","REGO",,,"4000","Liège","Liège","Rue de la Cathédrale","Rue de la Cathédrale","96","","",
"1040.663.609","REGO",,,"4000","Liège","Liège","Rue de Steppes","Rue de Steppes","24","","",
"1040.663.807","REGO",,,"8310","Brugge","Brugge","Marcus Laurinstraat","Marcus Laurinstraat","13","","",
"1040.664.203","REGO",,,"9700","Oudenaarde","Oudenaarde","Sompelstraat","Sompelstraat","66","","",
"1040.664.401","REGO",,,"2018","Antwerpen","Antwerpen","Van Breestraat","Van Breestraat","35","","",
"1040.664.894","REGO",,,"1600","Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Vosholenweg","Vosholenweg","5","A","",
"1040.665.092","REGO",,,"1850","Grimbergen","Grimbergen","Vaartstraat","Vaartstraat","156","","",
"1040.665.389","REGO",,,"2930","Brasschaat","Brasschaat","Leopoldslei","Leopoldslei","50","","",
"1040.665.587","REGO",,,"2550","Kontich","Kontich","Irislaan","Irislaan","26","","",
"1040.665.686","REGO",,,"7080","Frameries","Frameries","Rue du Parc","Rue du Parc","26","","",
"1040.665.785","REGO",,,"7000","Mons","Mons","Rue Hector Delanois (C.)","Rue Hector Delanois (C.)","47","","",
"1040.665.884","REGO",,,"2030","Antwerpen","Antwerpen","Vosseschijnstraat","Vosseschijnstraat","43D","","",
"1040.665.983","REGO",,,"1050","Elsene","Ixelles","Mercelisstraat","Rue Mercelis","33C","","",
"1040.669.745","REGO",,,"2520","Ranst","Ranst","Schuurblok","Schuurblok","2","","",
"1040.670.141","REGO",,,"3900","Pelt","Pelt","Blaasstraat","Blaasstraat","1","3900","",
"1040.673.111","REGO",,,"9470","Denderleeuw","Denderleeuw","Denderweg","Denderweg","1","","",
"1040.673.507","REGO","Groot-Brittannië","Grande-Bretagne","HX6 4FF","Ripponden","Ripponden","Unit 20 Rippondem Business Park, Oldham Road,","Unit 20 Rippondem Business Park, Oldham Road,","20","","",
"1040.674.101","REGO",,,"7530","Tournai","Tournai","Grand'Route(G-R)","Grand'Route(G-R)","209A","","",
"1040.674.495","REGO",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Leuvensesteenweg","Chaussée de Louvain","41","","",
"1040.674.693","REGO",,,"1050","Elsene","Ixelles","Terkamerendalsquare","Square du Val de la Cambre","20","","",
"1040.675.188","REGO",,,"3665","As","As","Dwarsstraat","Dwarsstraat","15","","",
"1040.676.079","REGO",,,"1050","Elsene","Ixelles","Kroonlaan","Avenue de la Couronne","218","20","",
"1040.676.376","REGO",,,"1050","Elsene","Ixelles","de Stassartstraat","Rue de Stassart","131","","",
"1040.676.475","REGO",,,"1000","Brussel","Bruxelles","Anderlechtsesteenweg","Rue d'Anderlecht","147","","",
"1040.676.871","REGO","Nederland","Pays-Bas","2631RR","NOOTDORP","NOOTDORP","STOOMWEG","STOOMWEG","23","","",
"1040.677.168","REGO",,,"1740","Ternat","Ternat","Assesteenweg","Assesteenweg","116A","","",
"1040.677.267","REGO",,,"1740","Ternat","Ternat","Assesteenweg","Assesteenweg","116A","","",
"1040.677.366","REGO",,,"2300","Turnhout","Turnhout","Rubensstraat","Rubensstraat","134","","",
"1040.677.663","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","367","","",
"1040.677.960","REGO",,,"9041","Gent","Gent","Christiaan Van der Heydenlaan","Christiaan Van der Heydenlaan","2","","",
"1040.678.059","REGO",,,"1785","Merchtem","Merchtem","Nieuwbaan","Nieuwbaan","42","","",
"1040.678.257","REGO",,,"2321","Hoogstraten","Hoogstraten","Terbeeksestraat","Terbeeksestraat","36","","",
"1040.678.851","REGO",,,"9000","Gent","Gent","Bennesteeg","Bennesteeg","23","","",
"1040.679.148","REGO",,,"9000","Gent","Gent","Hoogpoort","Hoogpoort","14","","",
"1040.679.643","REGO",,,"3300","Tienen","Tienen","Galgestraat","Galgestraat","107","","",
"1040.679.940","REGO",,,"9120","Beveren-Kruibeke-Zwijndrecht","Beveren-Kruibeke-Zwijndrecht","Prosper Van Raemdonckstraat(BEV)","Prosper Van Raemdonckstraat(BEV)","27","","",
"1040.680.138","REGO",,,"1050","Brussel","Bruxelles","Louizalaan","Avenue Louise","65","","",
"1040.680.435","REGO",,,"8000","Brugge","Brugge","Marguerite Yourcenarstraat","Marguerite Yourcenarstraat","41","","",
"1040.680.732","REGO",,,"1180","Ukkel","Uccle","Alsembergsesteenweg","Chaussée d'Alsemberg","762","","",
"1040.681.425","REGO",,,"9700","Oudenaarde","Oudenaarde","Misweg","Misweg","24","","",
"1040.681.524","REGO",,,"8800","Roeselare","Roeselare","Koestraat","Koestraat","175A","2.18","",
"1040.681.623","REGO",,,"1435","Mont-Saint-Guibert","Mont-Saint-Guibert","Rue de Namur","Rue de Namur","7","","",
"1040.681.722","REGO",,,"1348","Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Avenue Jean Monnet","Avenue Jean Monnet","1","","",
"1040.682.019","REGO",,,"6700","Arlon","Arlon","Rue de Neufchâteau","Rue de Neufchâteau","153 b","","",
"1040.682.118","REGO",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Koning Albert II-laan","Boulevard du Roi Albert II","19","","",
"1040.682.316","REGO",,,"1070","Anderlecht","Anderlecht","Sergeant De Bruynestraat","Rue Sergent De Bruyne","86","","",
"1040.682.415","REGO",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Koning Albert II-laan","Boulevard du Roi Albert II","19","","",
"1040.682.613","REGO",,,"1421","Braine-l'Alleud","Braine-l'Alleud","Rue Michel Botte","Rue Michel Botte","93","","",
"1040.683.702","REGO",,,"1630","Linkebeek","Linkebeek","Stationsstraat","Rue de la Station","43","1","",
"1040.683.801","REGO",,,"3001","Leuven","Leuven","Vijfbunderstraat","Vijfbunderstraat","9","","",
"1040.683.997","REGO",,,"4340","Awans","Awans","Rue Commandant Naessens","Rue Commandant Naessens","36","A","",
"1040.684.294","REGO",,,"2610","Antwerpen","Antwerpen","Fort 7-straat","Fort 7-straat","11","","",
"1040.684.591","REGO",,,"2300","Turnhout","Turnhout","Kongoplein","Kongoplein","4","","",
"1040.685.086","REGO",,,"1170","Watermaal-Bosvoorde","Watermael-Boitsfort","Giervalkenlaan","Avenue des Gerfauts","10","34","",
"1040.685.185","REGO",,,"8670","Koksijde","Koksijde","Koninklijke Baan(Kok)","Koninklijke Baan(Kok)","185","","",
"1040.685.383","REGO",,,"3300","Tienen","Tienen","Pollepelstraat","Pollepelstraat","9","","",
"1040.685.878","REGO",,,"8560","Wevelgem","Wevelgem","Vliegveld","Vliegveld","21","","",
"1040.686.076","REGO",,,"5100","Namur","Namur","Av. du Bourg. Jean Materne(JB)","Av. du Bourg. Jean Materne(JB)","33/0031","","",
"1040.686.274","REGO",,,"8670","Koksijde","Koksijde","Schoonjachtstraat(Kok)","Schoonjachtstraat(Kok)","3","","",
"1040.686.373","REGO",,,"1030","Schaarbeek","Schaerbeek","Geefsstraat","Rue Geefs","10","","",
"1040.686.571","REGO",,,"1030","Schaarbeek","Schaerbeek","Koninklijke Sinte-Mariastraat","Rue Royale-Sainte-Marie","86","","",
"1040.686.868","REGO",,,"9320","Aalst","Aalst","Keppestraat","Keppestraat","57/11","","",
"1040.686.967","REGO",,,"8670","Koksijde","Koksijde","Koninklijke Baan(Kok)","Koninklijke Baan(Kok)","185","","",
"1040.687.066","REGO",,,"6690","Vielsalm","Vielsalm","Ville-du-Bois","Ville-du-Bois","173","","",
"1040.687.264","REGO",,,"9000","Gent","Gent","Sleepstraat","Sleepstraat","201","","",
"1040.687.363","REGO",,,"4430","Ans","Ans","Rue de l'Yser","Rue de l'Yser","251","32","",
"1040.687.858","REGO",,,"3600","Genk","Genk","Meeënheide","Meeënheide","146","A","",
"1040.687.957","REGO",,,"2180","Antwerpen","Antwerpen","Prinshoeveweg","Prinshoeveweg","125","","",
"1040.688.848","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Maricollendreef","Drève des Maricolles","25","","",
"1040.688.947","REGO",,,"1170","Watermaal-Bosvoorde","Watermael-Boitsfort","Charles Michielslaan","Avenue Charles Michiels","174","7","",
"1040.689.145","REGO",,,"8530","Harelbeke","Harelbeke","Hippodroomstraat","Hippodroomstraat","110","","",
"1040.689.244","REGO",,,"7500","Tournai","Tournai","Boulevard Lalaing(TOU)","Boulevard Lalaing(TOU)","2","","",
"1040.689.640","REGO",,,"2990","Wuustwezel","Wuustwezel","Bosduinstraat","Bosduinstraat","135","","",
"1040.689.739","REGO",,,"8810","Lichtervelde","Lichtervelde","Ringlaan","Ringlaan","1","","",
"1040.689.937","REGO",,,"1050","Elsene","Ixelles","Waaglaan","Avenue du Pesage","61/25","","",
"1040.690.135","REGO",,,"9052","Gent","Gent","Technologiepark-Zwijnaarde","Technologiepark-Zwijnaarde","84","","",
"1040.690.234","REGO",,,"3270","Scherpenheuvel-Zichem","Scherpenheuvel-Zichem","Diestsestraat(S)","Diestsestraat(S)","261","","",
"1040.691.125","REGO",,,"2627","Schelle","Schelle","Paepevelden","Paepevelden","31","","",
"1040.691.224","REGO",,,"1348","Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Rue de la Haute Borne","Rue de la Haute Borne","19","","",
"1040.691.422","REGO",,,"1457","Walhain","Walhain","Rue Chapja(TSL)","Rue Chapja(TSL)","39","","",
"1040.692.016","REGO",,,"6210","Les Bons Villers","Les Bons Villers","Chaussée de Bruxelles(FLG)","Chaussée de Bruxelles(FLG)","569","","",
"1040.692.412","REGO",,,"2630","Aartselaar","Aartselaar","Populierenlaan","Populierenlaan","1","","",
"1040.692.808","REGO",,,"1785","Merchtem","Merchtem","Mieregemstraat","Mieregemstraat","167","","",
"1040.693.303","REGO",,,"2870","Puurs-Sint-Amands","Puurs-Sint-Amands","Breendonk-Dorp","Breendonk-Dorp","23","","",
"1040.693.402","REGO",,,"1060","Sint-Gillis (bij-Brussel)","Saint-Gilles","Jourdanstraat","Rue Jourdan","136","1B3","",
"1040.693.501","REGO",,,"1950","Kraainem","Kraainem","Steenweg op Mechelen","Chaussée de Malines","455","","",
"1040.693.796","REGO",,,"7520","Tournai","Tournai","Rue Cahos(TEM)","Rue Cahos(TEM)","10","","",
"1040.693.994","REGO",,,"1982","Zemst","Zemst","Dynastiestraat","Dynastiestraat","82","","",
"1040.694.093","REGO",,,"1930","Zaventem","Zaventem","Ikaroslaan","Ikaroslaan","1","","",
"1040.694.192","REGO",,,"3450","Geetbets","Geetbets","Araanstraat","Araanstraat","3","","",
"1040.694.390","REGO",,,"8980","Zonnebeke","Zonnebeke","Elleboogstraat","Elleboogstraat","2","","",
"1040.694.489","REGO",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Victoria Reginaplantsoen","Square Victoria Régina","1","","",
"1040.694.588","REGO",,,"4100","Seraing","Seraing","Rue du Commandant Charlier","Rue du Commandant Charlier","125","","",
"1040.694.687","REGO",,,"2180","Antwerpen","Antwerpen","Bist","Bist","47","","",
"1040.694.786","REGO",,,"3582","Beringen","Beringen","Moestuinstraat","Moestuinstraat","18","","",
"1040.694.885","REGO",,,"8500","Kortrijk","Kortrijk","Burgemeester Nolfstraat(Kor)","Burgemeester Nolfstraat(Kor)","8","","",
"1040.694.984","REGO",,,"9190","Stekene","Stekene","Voorhout(KEM)","Voorhout(KEM)","45","","",
"1040.695.380","REGO",,,"3550","Heusden-Zolder","Heusden-Zolder","Savoerenweg","Savoerenweg","4","","",
"1040.695.479","REGO",,,"3600","Genk","Genk","Schietboomstraat","Schietboomstraat","24","","",
"1040.695.677","REGO",,,"3620","Lanaken","Lanaken","Bilzerbaan","Bilzerbaan","174","","",
"1040.695.776","REGO",,,"5530","Yvoir","Yvoir","Rue des Agauches, Dorinne","Rue des Agauches, Dorinne","2","","",
"1040.695.875","REGO",,,"3001","Leuven","Leuven","Leeuwerikenstraat","Leeuwerikenstraat","55","405","",
"1040.696.073","REGO",,,"1460","Ittre","Ittre","Rue de Fauquez","Rue de Fauquez","18","","",
"1040.696.370","REGO",,,"1640","Sint-Genesius-Rode","Sint-Genesius-Rode","Hof-ten-Hout","Hof-ten-Hout","20","","",
"1040.696.469","REGO",,,"9140","Temse","Temse","Hoogkamerstraat","Hoogkamerstraat","1","7","",
"1040.696.865","REGO",,,"5555","Bièvre","Bièvre","Rue du Rond-Pont, Oizy","Rue du Rond-Pont, Oizy","42","","",
"1040.696.964","REGO",,,"9500","Geraardsbergen","Geraardsbergen","Zavelstraat(Ove)","Zavelstraat(Ove)","98","","",
"1040.697.063","REGO",,,"5500","Dinant","Dinant","Rue de la Station","Rue de la Station","3","","",
"1040.697.360","REGO",,,"1050","Elsene","Ixelles","Voorzittersstraat","Rue du Président","1","","",
"1040.697.459","REGO",,,"1070","Anderlecht","Anderlecht","Victor Rauterstraat","Rue Victor Rauter","251","","",
"1040.697.954","REGO",,,"2018","Antwerpen","Antwerpen","Jan Van Rijswijcklaan","Jan Van Rijswijcklaan","127","201","",
"1040.698.053","REGO",,,"3380","Glabbeek","Glabbeek","Pepinusfortstraat","Pepinusfortstraat","2","","",
"1040.698.152","REGO",,,"6280","Gerpinnes","Gerpinnes","Rue des Dames(ACO)","Rue des Dames(ACO)","2","","",
"1040.698.350","REGO",,,"8790","Waregem","Waregem","Noorderlaan","Noorderlaan","54","","",
"1040.699.142","REGO",,,"8951","Heuvelland","Heuvelland","Koudekotstraat(Dran)","Koudekotstraat(Dran)","19","","",
"1040.699.241","REGO",,,"8953","Heuvelland","Heuvelland","Staanijzerstraat(Wijtsch)","Staanijzerstraat(Wijtsch)","25","","",
"1040.699.637","REGO",,,"7700","Mouscron","Mouscron","Voetbrugstraat","Rue de la Passerelle","45","1A","",
"2.005.955.842","BAET",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Sint-Lazaruslaan","Boulevard Saint-Lazare","4-10","","",
"2.021.102.391","BAET",,,"3920","Lommel","Lommel","Stationsstraat","Stationsstraat","43","","",
"2.022.163.453","BAET",,,"3900","Pelt","Pelt","Haltstraat","Haltstraat","50","","",
"2.022.368.737","BAET",,,"4540","Amay","Amay","Rue de Biber(AMA)","Rue de Biber(AMA)","1","3","",
"2.041.178.126","BAET",,,"8211","Zedelgem","Zedelgem","Hendrik Baekelandlaan","Hendrik Baekelandlaan","25","","",
"2.053.702.311","BAET",,,"1831","Machelen (Brab.)","Machelen (Brab.)","De Kleetlaan","De Kleetlaan","5","BC","",
"2.055.563.028","BAET",,,"2018","Antwerpen","Antwerpen","Provinciestraat","Provinciestraat","316","","",31-12-2025
"2.057.881.526","BAET",,,"2000","Antwerpen","Antwerpen","Cellebroedersstraat","Cellebroedersstraat","24","201","Tweede verdieping",
"2.069.986.631","BAET",,,"9800","Deinze","Deinze","Oude Heirbaan","Oude Heirbaan","184","","",
"2.070.709.775","BAET",,,"1932","Zaventem","Zaventem","Lenneke Marelaan","Lenneke Marelaan","4","","",
"2.088.220.156","BAET",,,"1380","Lasne","Lasne","Chaussée de Louvain","Chaussée de Louvain","420","","",19-06-2026
"2.088.364.468","BAET",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","0.1","",19-06-2026
